sequence,frame_start,frame_end,label,label_index,confidence,entropy_bits,entropy_norm,anomaly,sync_score,mean_spacing_cm,centroid_vel_cm_per_frame,var_spatial_cm2,speed_top2_cm_frame,speed_bot4_cm_frame,speed_diff_cm_frame,gate_mean_speed_cm_frame,gate_players_present,p_Spacing Breakdown,p_Delayed Support,p_Coordinated Attack,p_Coordinated Defense,p_Unclassified
42,6190,6218,Coordinated Defense,2,0.4348,1.8888,0.8135,True,0.0053,204.7,5.5,125445.3,24.95,3.35,21.6,10.55,6.0,0.1619,0.2892,0.0984,0.4348,0.0157
43,6219,6247,Coordinated Defense,2,0.4322,1.9022,0.8192,True,-0.0363,198.9,3.4,140728.2,12.69,1.43,11.25,5.18,6.0,0.1694,0.2836,0.0973,0.4322,0.0176
44,6248,6276,Coordinated Defense,2,0.4261,1.9426,0.8366,True,-0.0461,216.3,2.18,120830.2,9.57,1.76,7.81,4.36,6.0,0.1811,0.2703,0.0971,0.4261,0.0255
45,6277,6305,Coordinated Defense,2,0.4298,1.9217,0.8276,True,0.0573,217.0,2.54,82379.3,8.35,1.51,6.84,3.79,6.0,0.1701,0.2795,0.0991,0.4298,0.0214
46,6306,6334,Coordinated Defense,2,0.4256,1.899,0.8179,True,-0.0233,221.0,5.37,81997.1,28.36,1.63,26.73,10.54,6.0,0.1601,0.2945,0.1047,0.4256,0.015
47,6335,6363,Coordinated Defense,2,0.4082,1.9247,0.8289,True,-0.0065,228.3,5.31,139232.2,9.29,2.82,6.47,5.0,5.9,0.1966,0.2813,0.0989,0.4082,0.015
48,6364,6392,Coordinated Defense,2,0.4106,1.9185,0.8263,True,-0.0401,209.4,6.44,185841.1,25.09,3.02,22.06,10.38,6.0,0.1818,0.2903,0.1028,0.4106,0.0145
49,6393,6421,Coordinated Defense,2,0.4348,1.9289,0.8307,True,-0.0134,227.8,1.26,220684.9,7.03,1.79,5.24,3.54,6.0,0.1781,0.2678,0.0944,0.4348,0.0249
50,6422,6450,Coordinated Defense,2,0.4347,1.9081,0.8218,True,0.1919,230.5,10.17,262251.1,9.59,3.03,6.56,5.26,5.9,0.1721,0.2776,0.0962,0.4347,0.0194
51,6451,6479,Coordinated Defense,2,0.3493,1.9801,0.8528,True,0.2622,280.3,15.62,252789.5,22.89,2.84,20.05,10.25,5.41,0.191,0.3088,0.1393,0.3493,0.0115
52,6480,6508,Coordinated Attack,1,0.3116,1.9859,0.8553,True,0.2291,281.6,2.05,223165.8,5.11,1.95,3.17,3.0,6.0,0.2527,0.2912,0.3116,0.1377,0.0066
53,6509,6537,Coordinated Attack,1,0.3394,1.9706,0.8487,True,0.0928,269.9,3.7,186332.6,11.57,1.65,9.92,4.96,6.0,0.2411,0.2856,0.3394,0.1264,0.0075
54,6538,6566,Coordinated Defense,2,0.3894,1.9576,0.8431,True,0.0681,218.2,2.66,123218.6,9.57,2.6,6.97,4.92,6.0,0.1547,0.3068,0.1313,0.3894,0.0179
55,6567,6595,Coordinated Attack,1,0.3543,1.9597,0.844,True,0.1011,168.4,3.77,63293.8,14.81,2.7,12.11,6.74,6.0,0.0986,0.3236,0.3543,0.2057,0.0179
56,6596,6624,Coordinated Attack,1,0.4061,1.9383,0.8348,True,0.036,145.9,5.1,35623.3,19.51,2.79,16.73,8.36,6.0,0.1095,0.3001,0.4061,0.1647,0.0196
57,6625,6653,Coordinated Attack,1,0.4039,1.9428,0.8367,True,0.0787,125.3,3.81,36553.6,14.03,1.84,12.19,5.91,6.0,0.0996,0.302,0.4039,0.1715,0.023
58,6654,6682,Coordinated Defense,2,0.3672,1.9734,0.8499,True,0.0275,159.0,6.85,73800.6,21.46,1.71,19.75,8.29,6.0,0.1322,0.3228,0.1587,0.3672,0.019
59,6683,6711,Coordinated Defense,2,0.4346,1.9156,0.825,True,0.0663,209.1,2.73,127203.9,9.94,2.04,7.9,4.68,6.0,0.1708,0.2767,0.0962,0.4346,0.0217
60,6712,6740,Coordinated Defense,2,0.4362,1.8966,0.8168,True,-0.0227,202.5,4.94,140200.8,17.6,1.63,15.97,6.95,6.0,0.164,0.2846,0.0974,0.4362,0.0178
61,6741,6769,Coordinated Defense,2,0.3965,1.9371,0.8342,True,0.0564,263.3,4.15,125295.8,16.77,2.72,14.05,7.4,6.0,0.1893,0.2915,0.1084,0.3965,0.0142
62,6770,6798,Coordinated Defense,2,0.4247,1.9228,0.8281,True,0.2659,237.9,4.42,160974.6,11.09,3.2,7.89,5.83,6.0,0.1796,0.2779,0.0984,0.4247,0.0195
