n_frames,ball_present_frac,top2_speed_cms,rest_speed_cms,speed_ratio,mean_spacing_cm,centroid_vel_cms,sync_score,mean_hull_area,reaction_lag_frames,file,label,tactical_deviation
29,0.4482758620689655,214.7,214.7,1.0,0.0,214.7,0.0,0.0,16.0,Coordinated_Attack__videoplayback (1)_clip_065.csv,Coordinated Attack,4.415905857498604
29,0.9655172413793104,116.6,116.6,1.0,375.7,110.3,-0.264,0.0,-1.0,Coordinated_Attack__videoplayback (1)_clip_068.csv,Coordinated Attack,3.419073876378845
29,0.4482758620689655,541.3,251.2,2.15,404.2,359.7,0.257,54484.0,-23.0,Coordinated_Attack__videoplayback (1)_clip_072.csv,Coordinated Attack,3.9147895685585263
29,0.8275862068965517,286.4,212.5,1.35,269.1,159.0,-0.058,16170.0,0.0,Coordinated_Attack__videoplayback (1)_clip_078.csv,Coordinated Attack,2.5196217356829336
29,0.7931034482758621,323.7,191.8,1.69,307.0,180.4,0.04,65276.0,-14.0,Coordinated_Attack__videoplayback (1)_clip_079.csv,Coordinated Attack,1.5055416315763281
29,0.896551724137931,223.2,223.2,1.0,169.9,223.4,0.0,0.0,7.0,Coordinated_Attack__videoplayback (1)_clip_084.csv,Coordinated Attack,3.193981732963515
29,0.4482758620689655,271.5,204.1,1.33,479.8,186.3,0.094,39265.0,-10.0,Coordinated_Attack__videoplayback (1)_clip_086.csv,Coordinated Attack,2.0487770102255105
29,1.0,349.7,349.7,1.0,95.0,533.0,-0.213,77.0,0.0,Coordinated_Attack__videoplayback (1)_clip_091.csv,Coordinated Attack,6.383289433345383
29,0.4827586206896552,209.2,209.2,1.0,149.5,197.9,0.702,0.0,,Coordinated_Attack__videoplayback (1)_clip_097.csv,Coordinated Attack,4.761061205107479
29,0.9310344827586207,328.5,207.8,1.58,399.9,162.7,0.127,17582.0,17.0,Coordinated_Attack__videoplayback (1)_clip_104.csv,Coordinated Attack,1.9863398894088804
29,0.4482758620689655,150.7,150.7,1.0,116.5,117.3,0.185,0.0,12.0,Coordinated_Attack__videoplayback (1)_clip_109.csv,Coordinated Attack,3.215696197501027
29,0.0,336.6,194.9,1.73,378.6,207.5,0.081,41131.0,,Coordinated_Attack__videoplayback (1)_clip_111.csv,Coordinated Attack,1.5701925448003453
29,0.3103448275862069,519.4,519.4,1.0,121.6,599.3,0.417,16.0,-16.0,Coordinated_Attack__videoplayback (1)_clip_112.csv,Coordinated Attack,8.634742699680146
29,0.9655172413793104,261.6,164.8,1.59,341.4,175.7,0.01,4457.0,-4.0,Coordinated_Attack__videoplayback (1)_clip_116.csv,Coordinated Attack,1.6910184996615665
29,0.8275862068965517,257.7,165.0,1.56,425.3,161.5,0.257,21606.0,9.0,Coordinated_Attack__videoplayback (1)_clip_119.csv,Coordinated Attack,1.8585473489513629
29,0.41379310344827586,155.5,117.9,1.32,470.1,77.7,-0.115,15183.0,-11.0,Coordinated_Attack__videoplayback (1)_clip_121.csv,Coordinated Attack,2.7010196992061433
29,0.3103448275862069,218.1,151.8,1.44,333.4,235.2,0.489,20887.0,3.0,Coordinated_Attack__videoplayback (1)_clip_125.csv,Coordinated Attack,2.990105858981101
29,0.7931034482758621,216.7,111.4,1.94,309.5,197.2,0.045,195662.0,11.0,Coordinated_Attack__videoplayback (3)_clip_002.csv,Coordinated Attack,2.064568258433324
29,1.0,449.1,125.7,3.57,243.5,300.8,-0.01,45733.0,10.0,Coordinated_Attack__videoplayback (3)_clip_003.csv,Coordinated Attack,3.694492228108231
29,0.7241379310344828,211.9,107.6,1.97,240.7,181.5,0.032,82267.0,14.0,Coordinated_Attack__videoplayback (3)_clip_008.csv,Coordinated Attack,0.9997286626826124
29,0.6896551724137931,305.8,171.9,1.78,237.2,621.9,0.005,54103.0,16.0,Coordinated_Attack__videoplayback (3)_clip_011.csv,Coordinated Attack,5.144112007097568
